Track Name,Artists,Album Name,Album ID,Track ID,Popularity,Release Date,Duration (ms),Explicit,External URLs,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
Bạn Đời,"Karik, GDucky",Bạn Đời,2D1Enc9iq16z9Ikh6azGc2,0kHgteR4TV4LO80wrasDSR,64,2023-10-04,300719,False,https://open.spotify.com/track/0kHgteR4TV4LO80wrasDSR,0.843,0.484,5,-8.246,1,0.053,0.706,0.0,0.098,0.356,129.987
Hà Nội (ft. VSTRA),"Obito, VSTRA, Shiki",Đánh Đổi,5NODJ4FZWvaLLiFd554kLI,0SLhB9JLM4Ksz1XdwK3aQD,63,2023-10-10,165556,False,https://open.spotify.com/track/0SLhB9JLM4Ksz1XdwK3aQD,0.768,0.368,11,-13.274,0,0.047,0.329,0.105,0.284,0.365,107.998
Cầu Vĩnh Tuy,"Wren Evans, itsnk",LOI CHOI: The Neo Pop Punk,1c4nTHI2hreFeF5P37wf4f,24eClW0wZh5fFEFwsUWdSG,57,2023-12-17,151783,False,https://open.spotify.com/track/24eClW0wZh5fFEFwsUWdSG,0.755,0.677,0,-10.29,1,0.0378,0.0609,0.00539,0.135,0.921,137.94
Có Em,"Madihu, Low G",Có em,7nvdYW7qe9f1DT7pZ1EXDg,6Hs2xIgB8nzyGFDvVA8lFa,61,2022-04-22,218512,False,https://open.spotify.com/track/6Hs2xIgB8nzyGFDvVA8lFa,0.79,0.423,9,-7.965,0,0.0533,0.87,0.0,0.149,0.726,133.961
Đánh Đổi (ft. RPT MCK),"Obito, RPT MCK, Shiki",Đánh Đổi,5NODJ4FZWvaLLiFd554kLI,2doGmsaPLdot51o80juiYU,62,2023-10-10,226994,True,https://open.spotify.com/track/2doGmsaPLdot51o80juiYU,0.645,0.566,2,-12.294,1,0.14,0.237,4.73e-06,0.418,0.556,76.876
"Sau Lời Từ Khước (Theme Song From ""MAI"")",Phan Mạnh Quỳnh,"Sau Lời Từ Khước (Theme Song From ""MAI"")",6HtXpKEimQ3bOZmIAnhvVe,36OyVzUmUFb1MTTzy3YXbh,63,2024-02-14,250123,False,https://open.spotify.com/track/36OyVzUmUFb1MTTzy3YXbh,0.421,0.425,6,-8.667,1,0.0537,0.779,0.0,0.0915,0.465,203.774
An Thần,"Low G, Thắng",An Thần,1GZA9k0UojVkU7KFoVVRlC,5T6j0rfpCDBzAxC8Fpd0N7,64,2021-10-21,174286,False,https://open.spotify.com/track/5T6j0rfpCDBzAxC8Fpd0N7,0.758,0.773,6,-7.266,0,0.214,0.631,2.1e-06,0.114,0.907,169.996
Chúng Ta Của Hiện Tại,Sơn Tùng M-TP,Chúng Ta Của Hiện Tại,1V77kA4O1MlAUwfyBONfp1,1J3SmWwlYAG68LGKr86MVH,60,2020-12-20,301538,False,https://open.spotify.com/track/1J3SmWwlYAG68LGKr86MVH,0.582,0.662,2,-5.261,1,0.0352,0.0682,0.0,0.205,0.528,155.976
Sài Gòn Hôm Nay Mưa,"JSOL, Hoàng Duyên",Sài Gòn Hôm Nay Mưa,3uvFlg7afslUUJh43G2xwX,1xoadYaxtOp9gHDwgmPDuz,62,2021-05-29,247059,False,https://open.spotify.com/track/1xoadYaxtOp9gHDwgmPDuz,0.624,0.604,2,-5.438,1,0.0619,0.784,0.00869,0.108,0.354,136.077
Rồi Ta Sẽ Ngắm Pháo Hoa Cùng Nhau,O.lew,Rồi Ta Sẽ Ngắm Pháo Hoa Cùng Nhau,1gCpFjhvdR27Pgw5TljbFl,3a2Oftcs10wtzw6AmxuTMU,64,2023-01-02,278732,False,https://open.spotify.com/track/3a2Oftcs10wtzw6AmxuTMU,0.638,0.106,3,-15.103,1,0.0424,0.955,1.1e-06,0.237,0.221,123.592
